ACTION START 1200 0 START
ACTION QUERY 1200 10  preferen in definition of terms
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 78138597
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 30110893
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 479671
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 126980077
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 70972352
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 158275115
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 108528571
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 42668505
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 18189755
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 142926037
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 28442408
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 121526029
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 125175978
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 162298252
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 19198165
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 1095454
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 19962325
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 45636073
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 147849944
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 6734665
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 136081789
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 29357870
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 134597301
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 2047632
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 8861583
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 98891346
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 3194043
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 138459211
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 8230784
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 8869291
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 155035613
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 36319403
ACTION QUERY 1200 121 preference, choice, ranking, AND (yearPublished>=1959 AND yearPublished<=2025)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 148720722
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 2920958
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 113917127
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 2688964
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 794396
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 49888144
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 12254548
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 95224202
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 137013320
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 163237490
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 15183049
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 233297
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 149185212
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 2514808
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 165031108
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 31628572
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 2507212
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 21377634
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 1135488
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 68931541
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 100836746
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 10445228
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 18192139
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 163308449
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 137246633
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 26052876
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 44741538
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 2541765
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 8368427
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 64827516
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 138189556
