ACTION START 1200 0 START
ACTION QUERY 1200 10 liminal time god encounter connection theology mystic
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 9225874
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 158185887
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 71228536
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 8546533
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 68321229
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 107959008
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 86202768
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 71236392
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 152422074
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 10287464
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 123537718
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 163399213
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 45242778
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 82149481
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 41637040
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 59116493
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 23163664
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 46614607
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 79338065
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 23163169
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 58799534
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 138688685
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 138351914
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 126488847
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 26716337
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 18676535
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 69997715
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 123448068
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 17874466
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 42885491
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 122681754
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 8866439
ACTION QUERY 1200 121 liminal time god encounter connection theology mystic AND (yearPublished>=2020 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
