ACTION START 1200 0 START
ACTION QUERY 1200 10 Financial risk during economic changes in the Philippines
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 155605555
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 122105893
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 24199402
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 2628033
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 17111697
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 126886612
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 17803543
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 19594267
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 29067997
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 89679756
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 158111073
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 99161904
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 158107964
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 2593472
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 8055778
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 68467621
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 124462900
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 2990868
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 2666957
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 68816615
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 143246823
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 86564991
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 137652933
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 8029642
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 148413519
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 46216117
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 138548748
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 2604842
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 2554275
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 2540774
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 99773345
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 146232932
ACTION QUERY 1200 121 financial risk AND (yearPublished>=2000 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 86564991
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 2688743
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 2627069
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 8046519
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 2545010
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 4238328
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 42494591
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 2480838
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 149988546
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 10991841
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 87162757
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 8055778
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 155871626
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 138098288
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 82032402
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 2666957
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 7504603
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 2552761
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 4409926
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 2693180
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 22978943
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 57509306
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 68287840
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 2578512
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 145228015
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 26884391
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 11608197
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 2559891
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 70314351
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 25027303
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 165117846
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 166096836
ACTION QUERY 1200 232 Financial risk during economic changes in the Philippines AND (yearPublished>=1980 AND yearPublished<=2024)
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 155605555
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 122105893
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 24199402
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 2628033
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 17111697
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 126886612
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 17803543
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 19594267
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 29067997
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 89679756
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 158111073
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 99161904
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 158107964
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 2593472
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 8055778
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 68467621
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 124462900
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 2990868
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 2666957
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 68816615
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 143246823
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 86564991
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 137652933
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 8029642
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 148413519
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 46216117
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 138548748
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 2604842
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 2554275
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 2540774
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 99773345
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 146232932
ACTION QUERY 1200 343 financial risk AND (yearPublished>=2017 AND yearPublished<=2024)
ACTION SERP 1200 348 EXAMINE_SERP
ACTION SNIPPET 1200 351 SNIPPET_NOT_RELEVANT 86564991
ACTION SNIPPET 1200 354 SNIPPET_NOT_RELEVANT 2688743
ACTION SNIPPET 1200 357 SNIPPET_NOT_RELEVANT 2627069
ACTION SNIPPET 1200 360 SNIPPET_NOT_RELEVANT 8046519
ACTION SNIPPET 1200 363 SNIPPET_NOT_RELEVANT 2545010
ACTION SNIPPET 1200 366 SNIPPET_NOT_RELEVANT 4238328
ACTION SNIPPET 1200 369 SNIPPET_NOT_RELEVANT 42494591
ACTION SNIPPET 1200 372 SNIPPET_NOT_RELEVANT 2480838
ACTION SNIPPET 1200 375 SNIPPET_NOT_RELEVANT 149988546
ACTION SNIPPET 1200 378 SNIPPET_NOT_RELEVANT 10991841
ACTION SNIPPET 1200 381 SNIPPET_NOT_RELEVANT 87162757
ACTION SNIPPET 1200 384 SNIPPET_NOT_RELEVANT 8055778
ACTION SNIPPET 1200 387 SNIPPET_NOT_RELEVANT 155871626
ACTION SNIPPET 1200 390 SNIPPET_NOT_RELEVANT 138098288
ACTION SNIPPET 1200 393 SNIPPET_NOT_RELEVANT 82032402
ACTION SNIPPET 1200 396 SNIPPET_NOT_RELEVANT 2666957
ACTION SNIPPET 1200 399 SNIPPET_NOT_RELEVANT 7504603
ACTION SNIPPET 1200 402 SNIPPET_NOT_RELEVANT 2552761
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 4409926
ACTION SNIPPET 1200 408 SNIPPET_NOT_RELEVANT 2693180
ACTION SNIPPET 1200 411 SNIPPET_NOT_RELEVANT 22978943
ACTION SNIPPET 1200 414 SNIPPET_NOT_RELEVANT 57509306
ACTION SNIPPET 1200 417 SNIPPET_NOT_RELEVANT 68287840
ACTION SNIPPET 1200 420 SNIPPET_NOT_RELEVANT 2578512
ACTION SNIPPET 1200 423 SNIPPET_NOT_RELEVANT 145228015
ACTION SNIPPET 1200 426 SNIPPET_NOT_RELEVANT 26884391
ACTION SNIPPET 1200 429 SNIPPET_NOT_RELEVANT 11608197
ACTION SNIPPET 1200 432 SNIPPET_NOT_RELEVANT 2559891
ACTION SNIPPET 1200 435 SNIPPET_NOT_RELEVANT 70314351
ACTION SNIPPET 1200 438 SNIPPET_NOT_RELEVANT 25027303
ACTION SNIPPET 1200 441 SNIPPET_NOT_RELEVANT 165117846
ACTION SNIPPET 1200 444 SNIPPET_NOT_RELEVANT 166096836
ACTION SERP 1200 449 EXAMINE_SERP
ACTION SNIPPET 1200 452 SNIPPET_NOT_RELEVANT 86564991
ACTION QUERY 1200 462 financial risk AND (yearPublished>=2011 AND yearPublished<=2024)
ACTION SERP 1200 467 EXAMINE_SERP
ACTION SNIPPET 1200 470 SNIPPET_NOT_RELEVANT 86564991
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 2688743
ACTION SNIPPET 1200 476 SNIPPET_NOT_RELEVANT 2627069
