ACTION START 1200 0 START
ACTION QUERY 1200 10 Related Review Literature procrastination 
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 10989505
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 122449104
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 155134006
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 71854808
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 9087978
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 37974377
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 83558293
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 150040782
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 15035207
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 62441957
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 157906141
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 132736622
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 156896536
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 17926272
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 125196510
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 24079580
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 25223271
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 2689064
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 122567011
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 144631632
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 125910428
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 87092359
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 145154596
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 87525231
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 18382648
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 150550036
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 155653156
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 133453766
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 59140124
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 44862822
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 18359489
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 136065883
ACTION QUERY 1200 121 cademic performance AND (yearPublished>=2010 AND yearPublished<=2025)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 107181183
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 84317291
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 74727449
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 151370611
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 74725333
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 11602642
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 86048880
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 42935251
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 71457313
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 39987017
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 67246126
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 31876838
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 136672182
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 158267397
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 75527849
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 31403233
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 7466822
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 5219232
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 18513402
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 67839112
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 3099799
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 69673181
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 26690255
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 99044465
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 18492757
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 70298541
