ACTION START 1200 0 START
ACTION QUERY 1200 10 school sports literature review
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 154028972
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 151033692
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 69797318
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 146692731
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 86763120
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 57172245
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 7563724
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 123398452
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 132706966
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 66849211
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 126360720
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 127697598
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 134936298
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 107271180
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 70307482
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 120097631
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 68432709
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 69795762
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 153566850
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 9089148
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 160774218
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 11726035
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 143697456
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 75551616
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 82482231
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 83829699
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 18506897
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 2616262
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 83558616
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 3533975
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 127697596
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 122211861
ACTION SERP 1200 116 EXAMINE_SERP
ACTION SNIPPET 1200 119 SNIPPET_NOT_RELEVANT 154028972
ACTION QUERY 1200 129 literature review on school sports AND (yearPublished>=1951 AND yearPublished<=2024)
ACTION SERP 1200 134 EXAMINE_SERP
ACTION SNIPPET 1200 137 SNIPPET_NOT_RELEVANT 154028972
ACTION SNIPPET 1200 140 SNIPPET_NOT_RELEVANT 151033692
ACTION SNIPPET 1200 143 SNIPPET_NOT_RELEVANT 69797318
ACTION SNIPPET 1200 146 SNIPPET_NOT_RELEVANT 146692731
ACTION SNIPPET 1200 149 SNIPPET_NOT_RELEVANT 86763120
ACTION SNIPPET 1200 152 SNIPPET_NOT_RELEVANT 57172245
ACTION SNIPPET 1200 155 SNIPPET_NOT_RELEVANT 7563724
ACTION SNIPPET 1200 158 SNIPPET_NOT_RELEVANT 123398452
ACTION SNIPPET 1200 161 SNIPPET_NOT_RELEVANT 132706966
ACTION SNIPPET 1200 164 SNIPPET_NOT_RELEVANT 66849211
ACTION SNIPPET 1200 167 SNIPPET_NOT_RELEVANT 126360720
ACTION SNIPPET 1200 170 SNIPPET_NOT_RELEVANT 127697598
ACTION SNIPPET 1200 173 SNIPPET_NOT_RELEVANT 134936298
ACTION SNIPPET 1200 176 SNIPPET_NOT_RELEVANT 107271180
ACTION SNIPPET 1200 179 SNIPPET_NOT_RELEVANT 70307482
ACTION SNIPPET 1200 182 SNIPPET_NOT_RELEVANT 120097631
ACTION SNIPPET 1200 185 SNIPPET_NOT_RELEVANT 68432709
ACTION SNIPPET 1200 188 SNIPPET_NOT_RELEVANT 69795762
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 153566850
ACTION SNIPPET 1200 194 SNIPPET_NOT_RELEVANT 9089148
ACTION SNIPPET 1200 197 SNIPPET_NOT_RELEVANT 160774218
ACTION SNIPPET 1200 200 SNIPPET_NOT_RELEVANT 11726035
ACTION SNIPPET 1200 203 SNIPPET_NOT_RELEVANT 143697456
ACTION SNIPPET 1200 206 SNIPPET_NOT_RELEVANT 75551616
ACTION SNIPPET 1200 209 SNIPPET_NOT_RELEVANT 82482231
ACTION SNIPPET 1200 212 SNIPPET_NOT_RELEVANT 83829699
ACTION SNIPPET 1200 215 SNIPPET_NOT_RELEVANT 18506897
ACTION SNIPPET 1200 218 SNIPPET_NOT_RELEVANT 2616262
ACTION SNIPPET 1200 221 SNIPPET_NOT_RELEVANT 83558616
ACTION SNIPPET 1200 224 SNIPPET_NOT_RELEVANT 3533975
ACTION SNIPPET 1200 227 SNIPPET_NOT_RELEVANT 127697596
ACTION SNIPPET 1200 230 SNIPPET_NOT_RELEVANT 122211861
ACTION SERP 1200 235 EXAMINE_SERP
ACTION SNIPPET 1200 238 SNIPPET_NOT_RELEVANT 154028972
ACTION QUERY 1200 248 Physical therapy AND (yearPublished>=1951 AND yearPublished<=2024)
ACTION SERP 1200 253 EXAMINE_SERP
ACTION SNIPPET 1200 256 SNIPPET_NOT_RELEVANT 41651896
ACTION SNIPPET 1200 259 SNIPPET_NOT_RELEVANT 74163912
ACTION SNIPPET 1200 262 SNIPPET_NOT_RELEVANT 139427084
ACTION SNIPPET 1200 265 SNIPPET_NOT_RELEVANT 133024113
ACTION SNIPPET 1200 268 SNIPPET_NOT_RELEVANT 122350457
ACTION SNIPPET 1200 271 SNIPPET_NOT_RELEVANT 76043239
