ACTION START 1200 0 START
ACTION QUERY 1200 10 out of school
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 48705198
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 152120338
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 125838762
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 10163912
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 69167955
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 126685394
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 75601743
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 2613935
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 34327702
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 3047049
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 31409855
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 138438854
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 31131259
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 160434241
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 36622354
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 2537648
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 2676968
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 69997664
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 48123337
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 11688759
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 2695392
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 439744
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 13976201
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 2542740
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 143271443
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 39558648
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 9144032
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 109786014
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 19862537
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 2716507
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 132321525
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 37002030
ACTION QUERY 1200 121 student transition from school to work AND (yearPublished>=2011 AND yearPublished<=2025)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 36984197
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 5208317
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 19213547
