ACTION START 1200 0 START
ACTION QUERY 1200 10 Short articles about corporation discussing about their rules and regulations
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 37432571
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 31444445
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 34141587
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 140736585
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 50132300
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 74703172
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 153250292
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 50766635
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 2690799
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 69323534
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 52842644
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 43393159
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 24733602
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 25215453
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 69230931
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 10855075
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 8104576
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 147414695
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 160926385
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 2466409
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 22535338
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 39371674
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 2627063
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 83891357
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 112490640
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 235820
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 30526048
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 4802701
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 90816981
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 127577603
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 44818880
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 149946077
ACTION SERP 1200 116 EXAMINE_SERP
ACTION SNIPPET 1200 119 SNIPPET_NOT_RELEVANT 37432571
ACTION QUERY 1200 129 corporation rules AND (yearPublished>=1975 AND yearPublished<=2024)
ACTION SERP 1200 134 EXAMINE_SERP
ACTION SNIPPET 1200 137 SNIPPET_NOT_RELEVANT 120442619
ACTION SNIPPET 1200 140 SNIPPET_NOT_RELEVANT 141541447
ACTION SNIPPET 1200 143 SNIPPET_NOT_RELEVANT 37432571
ACTION SNIPPET 1200 146 SNIPPET_NOT_RELEVANT 69323534
ACTION SNIPPET 1200 149 SNIPPET_NOT_RELEVANT 21016285
ACTION SNIPPET 1200 152 SNIPPET_NOT_RELEVANT 43393159
ACTION SNIPPET 1200 155 SNIPPET_NOT_RELEVANT 22535338
ACTION SNIPPET 1200 158 SNIPPET_NOT_RELEVANT 147414695
ACTION SNIPPET 1200 161 SNIPPET_NOT_RELEVANT 31443488
ACTION SNIPPET 1200 164 SNIPPET_NOT_RELEVANT 83891357
ACTION SNIPPET 1200 167 SNIPPET_NOT_RELEVANT 34143744
ACTION SNIPPET 1200 170 SNIPPET_NOT_RELEVANT 39371674
ACTION SNIPPET 1200 173 SNIPPET_NOT_RELEVANT 70999006
ACTION SNIPPET 1200 176 SNIPPET_NOT_RELEVANT 25853794
ACTION SNIPPET 1200 179 SNIPPET_NOT_RELEVANT 2719791
ACTION SNIPPET 1200 182 SNIPPET_NOT_RELEVANT 85465353
ACTION SNIPPET 1200 185 SNIPPET_NOT_RELEVANT 25215453
ACTION SNIPPET 1200 188 SNIPPET_NOT_RELEVANT 121055340
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 157981617
ACTION SNIPPET 1200 194 SNIPPET_NOT_RELEVANT 25246917
ACTION SNIPPET 1200 197 SNIPPET_NOT_RELEVANT 140736585
ACTION SNIPPET 1200 200 SNIPPET_NOT_RELEVANT 140680633
ACTION SNIPPET 1200 203 SNIPPET_NOT_RELEVANT 149534050
ACTION SNIPPET 1200 206 SNIPPET_NOT_RELEVANT 37437121
ACTION SNIPPET 1200 209 SNIPPET_NOT_RELEVANT 133616821
ACTION SNIPPET 1200 212 SNIPPET_NOT_RELEVANT 59183620
ACTION SNIPPET 1200 215 SNIPPET_NOT_RELEVANT 2690799
ACTION SNIPPET 1200 218 SNIPPET_NOT_RELEVANT 136672419
ACTION SNIPPET 1200 221 SNIPPET_NOT_RELEVANT 158433409
ACTION SNIPPET 1200 224 SNIPPET_NOT_RELEVANT 149777832
ACTION SNIPPET 1200 227 SNIPPET_NOT_RELEVANT 59480864
ACTION SNIPPET 1200 230 SNIPPET_NOT_RELEVANT 46748589
ACTION QUERY 1200 240 corporation AND (yearPublished>=2018 AND yearPublished<=2024)
ACTION SERP 1200 245 EXAMINE_SERP
ACTION SNIPPET 1200 248 SNIPPET_NOT_RELEVANT 2954950
ACTION SNIPPET 1200 251 SNIPPET_NOT_RELEVANT 8017287
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 38392257
ACTION SNIPPET 1200 257 SNIPPET_NOT_RELEVANT 125765589
ACTION SNIPPET 1200 260 SNIPPET_NOT_RELEVANT 1225859
ACTION SNIPPET 1200 263 SNIPPET_NOT_RELEVANT 19090793
ACTION SNIPPET 1200 266 SNIPPET_NOT_RELEVANT 67195071
ACTION SNIPPET 1200 269 SNIPPET_NOT_RELEVANT 75783284
ACTION SNIPPET 1200 272 SNIPPET_NOT_RELEVANT 16953304
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 149533231
ACTION SNIPPET 1200 278 SNIPPET_NOT_RELEVANT 8329410
