ACTION START 1200 0 START
ACTION QUERY 1200 10 online shopping
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 212592
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 2951272
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 99396675
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 70299805
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 85664521
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 68257972
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 36843327
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 136914523
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 160117665
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 122463368
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 39865199
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 38157824
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 11454742
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 37733917
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 120314932
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 129214560
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 139919824
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 7497173
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 43528226
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 125808208
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 70443598
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 160638925
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 155036538
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 70354942
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 17797495
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 123386077
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 84240127
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 113894000
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 17815056
