ACTION START 1200 0 START
ACTION QUERY 1200 10 english major in education
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 61177963
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 149970849
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 70337184
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 67055947
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 59378373
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 143598780
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 132695816
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 71399011
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 69994098
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 109247439
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 75193686
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 28023239
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 14011799
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 25026979
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 130945277
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 139358732
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 128974476
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 149425919
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 74690740
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 122163874
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 48472545
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 86808500
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 132505222
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 153566613
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 134529890
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 36983200
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 148201779
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 144928512
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 156088785
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 157978851
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 122360726
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 83943330
ACTION SERP 1200 116 EXAMINE_SERP
ACTION SNIPPET 1200 119 SNIPPET_NOT_RELEVANT 61177963
