ACTION START 1200 0 START
ACTION QUERY 1200 10 COMPARISON OF READERSHIP PERCEPTION OF ONLINE AND HARDCOPY NEWSPAPERS in Nigeria
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 151015257
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 125765463
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 152448721
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 50724075
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 45211877
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 138500852
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 2546464
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 8567450
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 70357806
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 18040195
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 122809210
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 140850481
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 135613378
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 127390110
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 39761064
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 151245951
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 70309209
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 70337389
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 156815474
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 4569208
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 162148167
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 37733917
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 136602200
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 120423876
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 99067901
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 121734872
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 71489299
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 159425199
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 16183723
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 153441700
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 152497176
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 70338246
ACTION QUERY 1200 121 COMPARISON OF READERSHIP PERCEPTION OF ONLINE AND HARDCOPY NEWSPAPERS in Nigeria.
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 151015257
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 125765463
