ACTION START 1200 0 START
ACTION QUERY 1200 10 Study on motivation of male and female purchase behaviour of cosmetics product in india
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 45532526
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 75580640
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 122525854
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 72006360
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 152224464
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 10969698
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 156564110
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 142519037
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 2602412
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 85661971
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 83730837
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 31871608
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 7312349
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 148099461
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 126675983
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 150339633
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 8331350
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 39865281
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 148552683
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 162617941
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 2718576
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 6884964
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 129747726
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 122397889
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 158499032
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 138513519
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 4610893
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 141526311
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 153521337
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 77675156
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 66747269
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 29773647
ACTION QUERY 1200 121 student motivation AND (yearPublished>=2012 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 58072754
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 163097071
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 143314411
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 137864943
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 9129937
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 139627857
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 126665298
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 85399596
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 129364213
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 70355563
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 11071367
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 140124218
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 85004710
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 122941962
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 163242631
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 156554004
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 153941783
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 154739081
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 154810433
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 135971295
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 2766027
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 8701664
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 4657555
