ACTION START 1200 0 START
ACTION QUERY 1200 10 French role in the Framing  Security Policy in the Sahel
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 160471885
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 136856866
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 136722809
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 2646221
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 45782193
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 2334659
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 52448400
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 2588473
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 165088516
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 541257
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 47592009
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 71225891
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 33346184
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 140463288
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 26974230
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 154796738
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 44765342
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 151686827
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 122064401
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 121444726
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 132754252
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 51759310
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 21329898
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 17826338
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 164506294
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 84985810
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 31234772
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 52802178
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 158635111
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 10472973
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 108421837
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 2239302
ACTION QUERY 1200 121  French role in the framing of security policy in the Sahel AND (yearPublished>=2009 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 160471885
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 136856866
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 136722809
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 2646221
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 45782193
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 2334659
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 52448400
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 2588473
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 165088516
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 541257
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 47592009
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 71225891
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 33346184
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 140463288
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 26974230
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 154796738
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 44765342
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 151686827
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 122064401
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 121444726
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 132754252
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 51759310
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 21329898
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 17826338
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 164506294
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 84985810
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 31234772
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 52802178
