ACTION START 1200 0 START
ACTION QUERY 1200 10 Time management review related literature 2022
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 148129676
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 133013850
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 148778338
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 73070440
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 149419391
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 159476456
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 143417481
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 162741603
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 150222446
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 126640071
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 148741952
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 153260953
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 129171201
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 163037681
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 131183764
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 156511553
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 20233507
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 140268345
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 8222174
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 154526219
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 145224673
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 50509290
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 13973972
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 130216793
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 158145382
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 61679996
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 125458310
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 122449104
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 127667419
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 150032921
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 162759372
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 18522140
ACTION QUERY 1200 121 time management AND (yearPublished>=2019 AND yearPublished<=2022)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 145047528
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 151501401
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 124930986
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 159838260
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 41668374
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 13973972
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 70354166
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 127398747
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 77571242
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 15128650
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 70301403
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 126653958
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 15302266
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 157921677
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 156008344
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 164422775
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 158115379
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 126855261
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 44149217
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 234245
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 75911524
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 154862928
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 41658008
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 150259682
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 23053044
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 13975733
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 48124452
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 70306142
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 10909795
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 26561086
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 69291129
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 86772093
ACTION QUERY 1200 232 Time management skills of students in college AND (yearPublished>=2015 AND yearPublished<=2025)
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 69291129
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 127398747
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 70496262
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 40553779
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 74537060
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 6926109
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 153517377
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 15176279
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 84408992
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 63035621
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 31634556
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 85388314
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 129244022
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 155649171
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 152819127
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 108387889
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 44857477
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 64634109
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 63240297
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 126092055
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 143390822
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 68551174
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 68103249
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 154803513
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 164422775
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 75062363
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 148751528
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 86036148
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 92055646
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 74631242
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 122818644
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 70354166
ACTION QUERY 1200 343 Time management in students and academic performance AND (yearPublished>=1960 AND yearPublished<=2024)
ACTION SERP 1200 348 EXAMINE_SERP
ACTION SNIPPET 1200 351 SNIPPET_NOT_RELEVANT 86772093
ACTION SNIPPET 1200 354 SNIPPET_NOT_RELEVANT 74728302
ACTION SNIPPET 1200 357 SNIPPET_NOT_RELEVANT 145047528
ACTION SNIPPET 1200 360 SNIPPET_NOT_RELEVANT 70354166
ACTION SNIPPET 1200 363 SNIPPET_NOT_RELEVANT 150069068
ACTION SNIPPET 1200 366 SNIPPET_NOT_RELEVANT 70298270
ACTION SNIPPET 1200 369 SNIPPET_NOT_RELEVANT 148751528
ACTION SNIPPET 1200 372 SNIPPET_NOT_RELEVANT 159838260
ACTION SNIPPET 1200 375 SNIPPET_NOT_RELEVANT 124930986
ACTION SNIPPET 1200 378 SNIPPET_NOT_RELEVANT 162443805
ACTION SNIPPET 1200 381 SNIPPET_NOT_RELEVANT 152819127
ACTION SNIPPET 1200 384 SNIPPET_NOT_RELEVANT 96089091
ACTION SNIPPET 1200 387 SNIPPET_NOT_RELEVANT 160732457
ACTION SNIPPET 1200 390 SNIPPET_NOT_RELEVANT 148173406
ACTION SNIPPET 1200 393 SNIPPET_NOT_RELEVANT 154735873
ACTION SNIPPET 1200 396 SNIPPET_NOT_RELEVANT 160926525
ACTION SNIPPET 1200 399 SNIPPET_NOT_RELEVANT 163367351
ACTION SNIPPET 1200 402 SNIPPET_NOT_RELEVANT 153517377
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 68161472
ACTION SNIPPET 1200 408 SNIPPET_NOT_RELEVANT 70309928
ACTION SNIPPET 1200 411 SNIPPET_NOT_RELEVANT 66818403
ACTION SNIPPET 1200 414 SNIPPET_NOT_RELEVANT 19484690
ACTION SNIPPET 1200 417 SNIPPET_NOT_RELEVANT 31860687
ACTION SNIPPET 1200 420 SNIPPET_NOT_RELEVANT 70301403
ACTION SNIPPET 1200 423 SNIPPET_NOT_RELEVANT 8568790
ACTION SNIPPET 1200 426 SNIPPET_NOT_RELEVANT 154862928
ACTION SNIPPET 1200 429 SNIPPET_NOT_RELEVANT 150352033
ACTION SNIPPET 1200 432 SNIPPET_NOT_RELEVANT 39834598
ACTION SNIPPET 1200 435 SNIPPET_NOT_RELEVANT 152101447
ACTION SNIPPET 1200 438 SNIPPET_NOT_RELEVANT 138476170
ACTION SNIPPET 1200 441 SNIPPET_NOT_RELEVANT 70311997
ACTION SNIPPET 1200 444 SNIPPET_NOT_RELEVANT 46352662
ACTION QUERY 1200 454 time management AND (yearPublished>=2020 AND yearPublished<=2024)
ACTION SERP 1200 459 EXAMINE_SERP
ACTION SNIPPET 1200 462 SNIPPET_NOT_RELEVANT 145047528
ACTION SNIPPET 1200 465 SNIPPET_NOT_RELEVANT 151501401
ACTION SNIPPET 1200 468 SNIPPET_NOT_RELEVANT 124930986
ACTION SNIPPET 1200 471 SNIPPET_NOT_RELEVANT 159838260
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 41668374
