ACTION START 1200 0 START
ACTION QUERY 1200 10 application of a project financed from EU funds
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 16131544
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 142921682
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 81958723
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 20902380
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 2697777
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 98791586
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 4182198
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 143058528
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 155003077
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 150867749
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 99158649
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 9890971
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 156594152
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 147719385
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 154081409
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 121897826
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 22975464
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 135881455
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 43966657
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 59294316
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 99167091
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 45384429
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 130902039
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 2643908
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 10327912
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 59575633
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 17067244
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 58334214
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 138697970
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 137763945
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 27642298
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 85242954
ACTION QUERY 1200 121 implementation of a project financed from EU funds AND (yearPublished>=2020 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 4182198
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 16131544
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 150867749
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 22975464
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 45384429
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 126274905
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 126054033
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 20902380
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 98791586
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 143058528
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 68174903
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 2332194
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 17067244
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 70308336
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 142921682
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 4760949
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 99158649
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 156594152
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 154081409
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 121897826
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 43966657
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 81958723
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 158455757
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 59294316
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 59133898
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 138791310
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 132584695
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 86267978
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 2643908
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 10620810
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 137763945
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 138697970
ACTION QUERY 1200 232 financial management in project implementation AND (yearPublished>=2011 AND yearPublished<=2025)
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 67500499
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 72995600
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 64608740
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 100810447
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 66310931
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 146160584
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 78576904
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 130247425
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 161175940
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 85643117
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 2776301
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 2543326
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 86564991
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 157888074
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 132702216
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 74687076
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 2545007
