ACTION START 1200 0 START
ACTION QUERY 1200 10 school contribution 
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 51876930
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 9761835
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 36320655
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 1154922
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 83903334
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 149869219
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 69167955
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 134530011
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 8549984
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 86023798
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 11587849
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 123008085
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 64967502
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 85927792
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 66842114
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 164668978
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 43519171
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 126928017
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 37996548
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 138660483
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 78386530
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 107582505
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 83919662
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 66020493
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 132315176
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 139908991
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 37994811
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 19862537
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 84232216
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 15038792
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 9813947
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 51751489
ACTION QUERY 1200 121 ducation expenses AND (yearPublished>=2012 AND yearPublished<=2025)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 134819785
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 164412622
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 65112155
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 64881682
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 31895881
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 51102352
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 32513893
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 148842959
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 64956276
