ACTION START 1200 0 START
ACTION QUERY 1200 10 pharmacognostic studies on leaf samples
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 88963156
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 135626757
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 137302238
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 83107029
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 6546338
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 42188582
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 132965035
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 132717799
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 135652223
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 122487471
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 86381188
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 66388299
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 123898129
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 122603183
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 150046984
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 140928628
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 153672575
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 121275821
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 68742728
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 9076098
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 59523139
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 8568349
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 138482527
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 162758679
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 70325623
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 112748131
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 121882863
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 40711057
