ACTION START 1200 0 START
ACTION QUERY 1200 10 NEO Five Factor Inventory
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 160466109
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 31213364
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 48217071
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 21827964
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 122599822
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 31309277
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 67741028
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 235240
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 211937
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 69233369
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 6956325
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 160101061
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 155711371
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 138784483
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 133453686
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 132443128
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 86810184
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 151722420
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 135484532
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 9886048
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 148368270
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 126688594
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 156110776
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 51414666
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 107275378
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 47801177
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 130209334
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 59500463
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 127542586
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 96038788
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 87521280
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 9019737
ACTION QUERY 1200 121 psychosis AND (yearPublished>=1959 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 139304859
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 40411551
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 132501752
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 138490649
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 19117345
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 100255487
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 141091621
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 85862117
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 138456777
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 75453905
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 40916486
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 163936170
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 26558135
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 25812536
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 41099082
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 6291441
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 29399717
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 84512415
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 120409336
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 18007906
