ACTION START 1200 0 START
ACTION QUERY 1200 10 web based creating a biodata
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 87114886
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 22059096
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 151598850
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 139941769
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 139960358
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 126541997
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 115007954
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 150210436
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 256352
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 40527270
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 23168456
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 24032083
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 48117135
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 41353699
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 107666437
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 61132018
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 163095723
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 7484137
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 146265738
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 155447713
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 1278500
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 87212840
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 4190402
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 256354
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 82051706
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 19461018
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 44981368
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 9862203
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 33727903
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 152682550
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 25212653
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 5861522
ACTION QUERY 1200 121 biography AND (yearPublished>=2011 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 164843109
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 37664538
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 153798047
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 65116384
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 43731097
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 54752969
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 77663745
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 134364337
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 128779571
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 61665184
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 23055480
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 63385191
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 85630897
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 5548431
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 4497723
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 69433555
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 9560027
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 84292885
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 134075789
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 146284841
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 164828175
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 148534523
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 95299889
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 148874777
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 65556849
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 131325469
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 70890585
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 6839824
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 21329364
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 7981046
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 8891193
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 9978761
ACTION QUERY 1200 232 the importance of biodata in the context of biodata AND (yearPublished>=1952 AND yearPublished<=2025)
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 139941769
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 159755413
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 148452086
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 126450735
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 2351201
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 161546281
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 155649059
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 155663617
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 122561807
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 138375070
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 129343750
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 6612310
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 83695138
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 109886330
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 86662032
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 107579553
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 66559689
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 47731214
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 141435131
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 126594170
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 37400314
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 7704131
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 18616844
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 19422403
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 145377436
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 8859764
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 12160271
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 7906680
