ACTION START 1200 0 START
ACTION QUERY 1200 10 egypt cultural female genital mutilation
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 41108296
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 163079162
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 49700987
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 151014331
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 70340641
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 126475067
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 8872149
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 122589791
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 68561928
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 70353000
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 63091059
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 45237009
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 120405679
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 76046376
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 77617027
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 112712618
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 62051567
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 71490416
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 143184373
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 161110362
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 83541378
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 31256574
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 135339823
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 62604034
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 17654204
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 36642517
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 67986758
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 82136686
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 137188912
