ACTION START 1200 0 START
ACTION QUERY 1200 10 Senior High School Students Preferences for Practicality Over Passion in College Course Selection
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 97961489
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 156781543
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 160926274
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 126664155
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 86823757
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 148552178
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 3031064
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 77648583
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 19158263
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 129188909
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 133006840
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 63179935
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 2349462
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 129196557
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 9330872
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 129307969
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 68691219
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 135403637
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 112589357
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 150645442
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 63342638
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 10272864
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 36985138
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 99069724
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 160119078
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 153827285
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 134530002
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 62051530
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 33158562
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 99154306
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 9088376
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 62533030
ACTION QUERY 1200 121 ("college choice" OR "higher education" OR "university study" OR "study destination" OR "study choice" OR "study decision" OR "study pathways" OR "study options" OR "study preferences" OR "study determinants" OR "study preferences" OR "study behaviour" OR "study decisions" OR "freshman" OR "first-year student" OR "freshman year" OR "undergraduate student" OR "high school student" OR "senior high
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 70295037
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 78289577
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 11350218
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 156908578
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 77648583
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 151548734
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 65255260
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 11282989
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 97961489
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 67415688
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 160119078
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 160926274
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 27577804
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 70399618
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 49619951
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 141976127
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 64937494
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 37997660
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 163188528
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 126664155
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 84213925
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 164633712
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 137656087
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 86823757
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 125851237
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 144792935
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 136805891
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 129637699
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 145727221
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 96683692
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 47803952
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 131090107
ACTION QUERY 1200 232 ("college choice" OR "college decision" OR "college major" OR "college pathway" OR "college destination") AND ("practical skill" OR "practical knowledge" OR "real-world skill" OR "job-ready" OR "employment-related") AND ("passion" OR "interest" OR "hobby" OR "personal passion" OR "favorite subject" OR "extracurricular activity") AND ("high school student" OR "senior high school student" OR "
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 97961489
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 37997660
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 123411731
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 63240297
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 69291129
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 50768835
