ACTION START 1200 0 START
ACTION QUERY 1200 10 exploring mental health related activities addressing misbehavior of students global research
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 163709475
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 160456012
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 9205808
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 161584768
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 162214798
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 68377447
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 157686115
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 77887370
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 256492
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 39809548
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 145738404
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 157846589
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 8327149
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 158091904
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 160434830
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 68631425
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 157685979
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 164926144
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 13920627
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 146468741
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 9197141
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 159482195
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 158669708
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 19177907
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 137513340
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 48217281
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 74695519
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 138610148
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 140859777
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 23052406
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 148239302
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 158116101
ACTION QUERY 1200 121 ("misbehavior" OR "deviant behavior" OR "disruptive behavior" OR "violence" OR "aggression" OR "criminal behavior" OR "criminal tendencies" OR "cyberbullying" OR "cyber harassment" OR "hacking" OR "identity theft" OR "phishing" OR "online radicalization" OR "internet crimes" OR "cybersecurity threats" OR "social media crime" OR "criminal activities" OR "illegal activities" OR
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 152032778
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 65778521
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 70337389
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 65644794
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 99238255
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 2744163
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 3108191
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 61007080
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 73042183
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 14078960
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 69946854
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 135980500
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 64226568
