ACTION START 1200 0 START
ACTION QUERY 1200 10 Financial risk during economic changes in the Philippines
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 155605555
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 122105893
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 24199402
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 2628033
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 17111697
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 126886612
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 17803543
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 19594267
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 29067997
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 89679756
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 158111073
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 99161904
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 158107964
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 2593472
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 8055778
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 68467621
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 124462900
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 2990868
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 2666957
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 68816615
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 143246823
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 86564991
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 137652933
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 8029642
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 148413519
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 46216117
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 138548748
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 2604842
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 2554275
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 2540774
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 99773345
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 146232932
ACTION QUERY 1200 121 ("financial risk" OR "financial vulnerability" OR "financial instability" OR "financial crisis") AND ("Philippines" OR "RP" OR "Republic of the Philippines" OR "Asian country") AND ("economic change" OR "economic transformation" OR "macroeconomic factors" OR "economic conditions") AND ("impact" OR "effect" OR "consequence" OR "repercussion") AND (yearPublished>=1983 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 24199402
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 28022863
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 2694550
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 12179796
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 2607597
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 2763529
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 29067997
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 158111073
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 2628033
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 79394306
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 2593472
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 2695886
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 2844620
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 6904591
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 2673195
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 108817064
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 158273559
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 124462900
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 131057501
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 74824411
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 3016009
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 2888457
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 8029642
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 2618178
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 2714234
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 2491839
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 143246823
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 136962530
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 84514714
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 8872762
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 46751517
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 2662902
ACTION QUERY 1200 232 ("financial risk" OR "financial vulnerability" OR "financial instability") AND ("economic change" OR "economic shift" OR "economic transformation") AND ("Philippines" OR "RP" OR "Republic of the Philippines") AND ("1990" OR 1990 OR "1991" OR 1991 OR "1992" OR 1992 OR "1993" OR 1993 OR "1994" OR 1994 OR "1995" OR 1995 OR
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 4509384
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 82405479
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 17116332
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 157196456
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 151094124
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 8560320
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 101945086
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 322427
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 2378809
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 36663268
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 101944256
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 130701760
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 36667538
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 17117532
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 58487194
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 158358805
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 10770746
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 163034735
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 17117987
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 2864956
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 21345900
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 82410473
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 37667328
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 82415790
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 127977751
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 11371178
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 44627339
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 2688487
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 3699939
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 160395289
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 82419089
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 2983516
ACTION QUERY 1200 343 ("financial risk" OR "financial vulnerability" OR "financial instability" OR "financial crisis") AND ("Philippines" OR "RP" OR "Republic of the Philippines") AND ("economic change" OR "economic reform" OR "financial liberalization" OR "macroeconomic policy" OR "monetary policy" OR "fiscal policy" OR "banking sector" OR "financial sector" OR "insurance" OR "pension" OR "bond markets" OR "stock markets" OR
ACTION SERP 1200 348 EXAMINE_SERP
ACTION SNIPPET 1200 351 SNIPPET_NOT_RELEVANT 2694550
ACTION SNIPPET 1200 354 SNIPPET_NOT_RELEVANT 2695886
ACTION SNIPPET 1200 357 SNIPPET_NOT_RELEVANT 59556140
ACTION SNIPPET 1200 360 SNIPPET_NOT_RELEVANT 2362215
ACTION SNIPPET 1200 363 SNIPPET_NOT_RELEVANT 2714234
ACTION SNIPPET 1200 366 SNIPPET_NOT_RELEVANT 2637576
ACTION SNIPPET 1200 369 SNIPPET_NOT_RELEVANT 2507496
ACTION SNIPPET 1200 372 SNIPPET_NOT_RELEVANT 2531351
ACTION SNIPPET 1200 375 SNIPPET_NOT_RELEVANT 2712586
ACTION SNIPPET 1200 378 SNIPPET_NOT_RELEVANT 2645190
ACTION SNIPPET 1200 381 SNIPPET_NOT_RELEVANT 2693873
ACTION SNIPPET 1200 384 SNIPPET_NOT_RELEVANT 2638140
ACTION SNIPPET 1200 387 SNIPPET_NOT_RELEVANT 2568976
ACTION SNIPPET 1200 390 SNIPPET_NOT_RELEVANT 83670918
ACTION SNIPPET 1200 393 SNIPPET_NOT_RELEVANT 2696051
ACTION SNIPPET 1200 396 SNIPPET_NOT_RELEVANT 2990868
ACTION SNIPPET 1200 399 SNIPPET_NOT_RELEVANT 12308358
ACTION SNIPPET 1200 402 SNIPPET_NOT_RELEVANT 17544973
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 2592365
ACTION SNIPPET 1200 408 SNIPPET_NOT_RELEVANT 2714081
ACTION SNIPPET 1200 411 SNIPPET_NOT_RELEVANT 158367007
ACTION SNIPPET 1200 414 SNIPPET_NOT_RELEVANT 8234115
ACTION SNIPPET 1200 417 SNIPPET_NOT_RELEVANT 83613194
ACTION SNIPPET 1200 420 SNIPPET_NOT_RELEVANT 57814742
ACTION SNIPPET 1200 423 SNIPPET_NOT_RELEVANT 136848177
ACTION SNIPPET 1200 426 SNIPPET_NOT_RELEVANT 66509872
ACTION SNIPPET 1200 429 SNIPPET_NOT_RELEVANT 2693180
ACTION SNIPPET 1200 432 SNIPPET_NOT_RELEVANT 79394306
ACTION SNIPPET 1200 435 SNIPPET_NOT_RELEVANT 2522057
