ACTION START 1200 0 START
ACTION QUERY 1200 10 research about recycled food waste or pagpag in Philippines 
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 134801550
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 138843487
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 74564737
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 79343812
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 5180731
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 137422985
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 31637564
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 78160582
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 153033902
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 81629815
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 34151750
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 136835522
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 148415372
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 42830588
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 81815080
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 145175477
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 163037681
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 9205037
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 50195163
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 37995931
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 165100411
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 128414765
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 5180018
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 18680936
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 5179659
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 20901099
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 129942304
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 107184803
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 130978338
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 24795255
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 133106062
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 10961686
ACTION QUERY 1200 121 "recycled food waste" OR "recycled food scraps" OR "recycled grocery store waste" OR "recycled retail food waste" OR "recycled commercial food waste" OR "food waste recycling" OR "food scrap recycling" OR "grocery store waste recycling" OR "retail food waste recycling" OR "commercial food waste recycling" OR "urban food waste" OR "urban food scraps" OR "farmer's market waste" OR "farmers market food waste"
