ACTION START 1200 0 START
ACTION QUERY 1200 10 understanding the lived experience of Social workers
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 63242751
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 8735039
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 47802263
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 17938933
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 7946766
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 23999816
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 31157956
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 154502478
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 156685831
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 8342660
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 8579376
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 10492502
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 29283404
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 57111626
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 11691742
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 144990586
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 533719
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 122458994
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 68785377
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 40149234
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 128548091
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 62572819
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 19213515
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 24699948
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 2445739
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 6794516
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 10538493
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 18357941
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 46355751
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 31164775
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 2449338
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 141794687
ACTION QUERY 1200 121 ("Social work" OR "Social worker" OR "Social workers" OR "Social work education" OR "Social work practice" OR "Social work research" OR "Social work ethics" OR "Social work theory" OR "Social work history" OR "Social work philosophy") AND ("Lived experience" OR "Personal experience" OR "First-hand experience" OR "Individual perspective" OR "Local knowledge" OR "Community experience") AND ("Disabled people" OR "Disabled community" OR "
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 40000574
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 46359157
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 164442272
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 148290548
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 47802263
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 160041552
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 31164775
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 132399767
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 18324377
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 23151330
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 38774603
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 159559713
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 54868619
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 154676357
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 154502478
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 51625190
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 52987438
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 40059287
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 7946766
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 159582946
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 87111142
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 58915209
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 63242751
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 164452174
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 4207941
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 8695288
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 53894239
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 39840595
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 44743208
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 46355751
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 121328631
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 7794697
ACTION QUERY 1200 232 ("Social work" OR "Social workers" OR "Social work profession" OR "Social worker") AND ("lived experience" OR "personal experience" OR "individual experience" OR "personal storytelling" OR "storytelling" OR "identity" OR "migrant" OR "migrant experience" OR "foreign-born" OR "foreign workers" OR "health technology workers" OR "HTW" OR "digital health workers" OR "digital health" OR "health workers" OR
