ACTION START 1200 0 START
ACTION QUERY 1200 10 financial literacy of students 2020
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 11466682
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 129184934
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 143280373
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 160669334
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 146417651
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 74706855
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 155645554
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 64822885
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 129834049
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 68603562
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 136971835
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 161771244
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 19179074
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 136045001
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 126393837
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 159477269
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 91393043
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 74591577
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 129015179
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 151718734
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 152045332
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 15109830
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 70301088
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 83504342
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 98841117
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 10996218
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 74725213
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 156054253
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 11462940
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 122249676
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 74726978
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 87173797
ACTION QUERY 1200 121 ("financial literacy" OR "financial education" OR "financial skills" OR "personal finance") AND ("college students" OR "higher education students" OR "university students" OR "undergraduate students") AND ("pandemic" OR "Covid" OR "Covid-19" OR "global pandemic" OR "emergency education response" OR "crisis learning") AND ("impact" OR "effect" OR "consequence" OR "repercussion") AND (yearPublished
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 151718734
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 136045001
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 155649171
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 156830632
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 10065585
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 112589357
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 155510211
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 125768552
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 150061048
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 19179074
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 70301088
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 153506637
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 31634556
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 132754273
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 11462940
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 74706855
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 74706468
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 14411061
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 58075127
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 145735263
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 126728039
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 160335636
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 77843962
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 150240591
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 52657520
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 40320082
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 122506402
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 163215421
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 163899041
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 86748065
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 41663919
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 63314396
ACTION QUERY 1200 232 ("financial literacy" OR "financial education" OR "financial skills" OR "personal finance" OR "economic education" OR "personal economics" OR "financial thinking" OR "financial reasoning" OR "financial decision-making" OR "financial management") AND ("impact" OR "effect" OR "influence" OR "aftermath" OR "consequence" OR "result" OR "outcome" OR "success" OR "performance" OR "efficacy" OR "success rate"
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 70303095
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 143390170
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 74707147
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 10065585
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 86748065
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 63226557
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 150467942
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 122506402
