ACTION START 1200 0 START
ACTION QUERY 1200 10 balut vendors
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 135712916
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 70483688
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 51876886
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 3103596
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 2652201
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 138460358
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 44978360
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 126654328
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 81971219
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 148337181
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 44664523
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 148738150
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 129724064
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 132315305
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 147656841
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 46249606
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 156548186
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 3763261
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 78387800
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 136464102
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 37733001
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 140476821
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 26246757
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 128497015
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 57292669
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 10427148
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 70317707
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 17858238
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 129345818
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 150210351
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 2591627
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 75551114
ACTION QUERY 1200 121 ("balut" OR "developing country" OR "Filipino" OR "Filipino cuisine" OR "global cuisine" OR "global food systems" OR "invasive species" OR "livestock" OR "meat" OR "phoenix of the south" OR "poaching" OR "prohibited species" OR "rare meat" OR "trade" OR "wild bird")   AND   ("impact" OR "effect" OR "consequence"
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 63053127
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 11024486
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 96719516
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 8222225
