ACTION START 1200 0 START
ACTION QUERY 1200 10 Using educational issues workshops as a pedagogical strategy to explore the argumentative competence in the EFL classroom
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 71626910
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 70338900
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 162939159
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 149981968
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 160710071
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 161344788
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 154924646
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 158027097
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 162874828
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 158026672
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 9031354
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 57099589
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 164447357
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 95337099
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 145393493
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 156087895
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 150639200
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 150243621
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 162021805
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 160818019
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 47494031
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 161771345
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 157395915
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 144221463
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 152745711
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 160554340
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 45244656
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 7775981
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 123388071
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 45592098
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 36337554
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 79007362
