ACTION START 1200 0 START
ACTION QUERY 1200 10 school sports literature review
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 154028972
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 151033692
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 69797318
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 146692731
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 86763120
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 57172245
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 7563724
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 123398452
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 132706966
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 66849211
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 126360720
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 127697598
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 134936298
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 107271180
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 70307482
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 120097631
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 68432709
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 69795762
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 153566850
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 9089148
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 160774218
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 11726035
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 143697456
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 75551616
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 82482231
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 83829699
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 18506897
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 2616262
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 83558616
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 3533975
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 127697596
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 122211861
ACTION QUERY 1200 121 ("sport" OR "football" OR "netball" OR "basketball" OR "track" OR "swimming" OR "rugby")  AND ("academic performance" OR "school work" OR "study skills" OR "learning" OR "study habits")  AND ("support" OR "guidance" OR "help" OR "mentorship" OR "advise" OR "education")  AND ("strategy" OR "tactics" OR "decision-making" OR
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 7951736
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 8619803
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 128972099
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 84242274
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 63099874
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 74706755
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 7801121
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 8091575
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 136410588
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 39834598
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 137940447
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 158101980
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 123398452
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 122984171
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 133006840
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 46890031
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 36983275
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 149031727
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 165115143
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 69997158
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 67470141
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 9200418
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 61111331
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 145480663
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 54228083
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 157036831
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 141986903
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 67468528
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 160930867
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 151504788
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 21775361
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 2867215
ACTION QUERY 1200 232 ("high school sports" OR "college sports" OR "professional sports") AND ("physical education" OR "physical fitness" OR "exercise" OR "athletic participation") AND ("academic performance" OR "schoolwork" OR "study habits" OR "stress") AND ("psychological well-being" OR "emotional health" OR "overtraining syndrome" OR "mental health") AND ("student engagement" OR "classroom climate" OR "student retention") AND ("gender disparities"
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 45236058
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 134508324
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 148244966
