ACTION START 1200 0 START
ACTION QUERY 1200 10 Prevention OF COMMUNICABLE DISEASE
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 344810
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 51586880
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 74928375
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 7102409
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 70983156
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 14401297
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 75105396
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 5507441
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 6827694
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 28024621
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 115375303
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 79351485
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 40733451
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 50532867
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 64211949
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 140387216
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 11340385
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 124569409
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 5515085
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 149550838
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 85659984
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 8442229
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 163959712
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 131111364
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 29560631
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 123343396
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 74831257
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 154479668
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 8027930
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 14067919
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 99099299
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 149555730
ACTION QUERY 1200 121 ("prevent" OR "reduce" OR "limit" OR "decrease" OR "diminish" OR "dimmitution") AND ("transmission" OR "propagation" OR "dispersion" OR "spreading" OR "infectious diseases" OR "chronic diseases" OR "cardiovascular diseases" OR "cancer" OR "mental health" OR "psychological disorders" OR "depression" OR "anxiety" OR "diabetes" OR "
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 25528502
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 158049418
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 133938328
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 44806603
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 25486351
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 59156642
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 37979760
