ACTION START 1200 0 START
ACTION QUERY 1200 10 Teenage pregnancy effects in students Philippines 
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 158143245
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 108822283
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 138212898
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 70334588
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 112597401
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 10869852
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 138437688
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 68098632
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 2307169
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 46299291
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 71476049
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 2772879
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 2821004
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 71475639
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 74251926
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 18869256
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 69603454
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 142354149
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 17702411
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 127131719
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 160926723
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 46351751
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 8567529
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 8567495
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 4354344
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 59193800
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 123335348
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 17704049
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 69390579
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 46299182
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 63239048
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 41174771
ACTION QUERY 1200 121 ("teenage pregnancy" OR "early pregnancy" OR "pregnancy at a young age") AND ("educational outcomes" OR "academic performance" OR "school attendance" OR "graduation rates" OR "dropout rates" OR "educational opportunities") AND ("impacts" OR "effects" OR "consequences" OR "influence" OR "aftermath" OR "repercussions") AND ("females" OR "girls" OR "women" OR "female students
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 46299291
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 145737687
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 120113517
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 8054234
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 112597401
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 127216245
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 18869256
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 127131719
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 2502411
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 37995001
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 158156051
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 138437688
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 8851799
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 2772879
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 2821004
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 48286117
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 160926723
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 2307169
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 41586009
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 83919662
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 90795783
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 69390579
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 142354149
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 36983789
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 10471252
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 8567495
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 8567529
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 39801545
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 123456774
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 10869852
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 71476049
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 122595043
