ACTION START 1200 0 START
ACTION QUERY 1200 10 Academic integrity and ai
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 158395828
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 160930400
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 153460535
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 157250786
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 147740119
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 159282247
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 160232544
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 160455797
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 165115263
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 155093148
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 153507717
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 155037505
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 143137139
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 159374054
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 154449291
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 155564612
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 158153197
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 153695924
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 160737569
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 160777525
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 161933595
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 160488860
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 160777694
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 150247715
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 157125360
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 162018377
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 160777521
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 153137726
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 153696889
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 152716094
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 157685701
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 160968873
ACTION QUERY 1200 121 ("artificial intelligence" OR "automated essay evaluation" OR "artificial intelligence in education" OR "ai in education" OR "smart classrooms" OR "digital adaptation" OR "educational data mining" OR "big data in education" OR "educational technology" OR "online learning" OR "distance learning" OR "performance based assessment" OR "grade evidence" OR "grade transparency" OR "grade reporting" OR "student feedback" OR "student engagement" OR "active
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 157685701
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 46265180
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 156948056
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 160662793
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 153696889
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 164827664
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 156396085
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 148377585
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 155646944
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 154924646
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 158027097
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 138244917
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 158026672
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 159375047
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 160811851
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 156564047
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 160502754
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 115388321
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 163999074
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 152037621
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 157489405
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 158151396
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 139952478
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 163018275
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 152044995
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 155553050
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 153804362
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 158061685
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 159796635
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 159483282
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 156574489
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 162018377
ACTION QUERY 1200 232 ("artificial intelligence" OR "automated evaluation" OR "academic grading" OR "digital intelligence" OR "artificial grammar" OR "AI" OR "machine learning" OR "automated essay scoring" OR "deep learning" OR "neural networks" OR "AI-tools" OR "AI system" OR "artificial intelligence" OR "smart engines" OR "AI writers" OR "synthetic intelligence" OR "AI-assistant" OR "chatbots" OR "te
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 160461892
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 109722954
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 148354721
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 156755561
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 158041266
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 44761588
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 128011051
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 156948056
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 164827652
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 11169535
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 44769578
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 160811851
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 153492665
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 76732096
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 159353252
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 142087634
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 152044995
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 156715563
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 88966309
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 47142148
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 128014529
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 158041189
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 160107881
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 140391316
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 75777171
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 160918444
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 154686610
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 148537764
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 128170032
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 149891286
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 157685701
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 155975353
ACTION QUERY 1200 343 ("artificial intelligence" OR "automated evaluation" OR "digital intelligence" OR "machine learning" OR "deepfake" OR "neural networks" OR "AI" OR "AI-generated" OR "synthetic media" OR "AI-driven" OR "automated evaluation system" OR "digital manipulation" OR "fake" OR "identity theft" OR "phishing" OR "fraud" OR "malware" OR "deception" OR "misrepresentation" OR "
ACTION SERP 1200 348 EXAMINE_SERP
ACTION SNIPPET 1200 351 SNIPPET_NOT_RELEVANT 139532798
ACTION SNIPPET 1200 354 SNIPPET_NOT_RELEVANT 162503919
ACTION SNIPPET 1200 357 SNIPPET_NOT_RELEVANT 126588824
ACTION SNIPPET 1200 360 SNIPPET_NOT_RELEVANT 109722954
ACTION SNIPPET 1200 363 SNIPPET_NOT_RELEVANT 129230917
ACTION SNIPPET 1200 366 SNIPPET_NOT_RELEVANT 156715563
ACTION SNIPPET 1200 369 SNIPPET_NOT_RELEVANT 161207129
ACTION SNIPPET 1200 372 SNIPPET_NOT_RELEVANT 76732096
ACTION SNIPPET 1200 375 SNIPPET_NOT_RELEVANT 155841746
ACTION SNIPPET 1200 378 SNIPPET_NOT_RELEVANT 19014880
ACTION SNIPPET 1200 381 SNIPPET_NOT_RELEVANT 155975353
ACTION SNIPPET 1200 384 SNIPPET_NOT_RELEVANT 160918444
ACTION SNIPPET 1200 387 SNIPPET_NOT_RELEVANT 153696541
ACTION SNIPPET 1200 390 SNIPPET_NOT_RELEVANT 24876966
ACTION SNIPPET 1200 393 SNIPPET_NOT_RELEVANT 160633739
ACTION SNIPPET 1200 396 SNIPPET_NOT_RELEVANT 44769578
ACTION SNIPPET 1200 399 SNIPPET_NOT_RELEVANT 128011051
ACTION SNIPPET 1200 402 SNIPPET_NOT_RELEVANT 44761588
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 78417577
ACTION SNIPPET 1200 408 SNIPPET_NOT_RELEVANT 156584023
ACTION SNIPPET 1200 411 SNIPPET_NOT_RELEVANT 126741719
ACTION SNIPPET 1200 414 SNIPPET_NOT_RELEVANT 160461892
ACTION SNIPPET 1200 417 SNIPPET_NOT_RELEVANT 160948904
ACTION SNIPPET 1200 420 SNIPPET_NOT_RELEVANT 142087634
ACTION SNIPPET 1200 423 SNIPPET_NOT_RELEVANT 44763879
ACTION SNIPPET 1200 426 SNIPPET_NOT_RELEVANT 148354721
ACTION SNIPPET 1200 429 SNIPPET_NOT_RELEVANT 156755561
ACTION SNIPPET 1200 432 SNIPPET_NOT_RELEVANT 135338674
ACTION SNIPPET 1200 435 SNIPPET_NOT_RELEVANT 158041189
ACTION SNIPPET 1200 438 SNIPPET_NOT_RELEVANT 112344093
ACTION SNIPPET 1200 441 SNIPPET_NOT_RELEVANT 162750797
ACTION SNIPPET 1200 444 SNIPPET_NOT_RELEVANT 128014529
ACTION QUERY 1200 454 ("artificial intelligence" OR "automated essay scoring" OR "AI-assisted essay scoring" OR "machine learning" OR "deep learning" OR "neural networks" OR "AI" OR "automated essay grading" OR "digital intelligence" OR "machine-media" OR "thinking machines" OR "big data" OR "data analytics" OR "large language models" OR "LLMs" OR "chatbots" OR "smart computers" OR "cybergenetics"
ACTION SERP 1200 459 EXAMINE_SERP
ACTION SNIPPET 1200 462 SNIPPET_NOT_RELEVANT 109722954
ACTION SNIPPET 1200 465 SNIPPET_NOT_RELEVANT 156715563
ACTION SNIPPET 1200 468 SNIPPET_NOT_RELEVANT 158041189
ACTION SNIPPET 1200 471 SNIPPET_NOT_RELEVANT 159353252
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 142187318
ACTION SNIPPET 1200 477 SNIPPET_NOT_RELEVANT 126741719
ACTION SNIPPET 1200 480 SNIPPET_NOT_RELEVANT 128011051
ACTION SNIPPET 1200 483 SNIPPET_NOT_RELEVANT 162353140
ACTION SNIPPET 1200 486 SNIPPET_NOT_RELEVANT 152192183
ACTION SNIPPET 1200 489 SNIPPET_NOT_RELEVANT 160461892
ACTION SNIPPET 1200 492 SNIPPET_NOT_RELEVANT 65654675
ACTION SNIPPET 1200 495 SNIPPET_NOT_RELEVANT 156755561
ACTION SNIPPET 1200 498 SNIPPET_NOT_RELEVANT 148354721
ACTION SNIPPET 1200 501 SNIPPET_NOT_RELEVANT 102585240
ACTION SNIPPET 1200 504 SNIPPET_NOT_RELEVANT 155975353
ACTION SNIPPET 1200 507 SNIPPET_NOT_RELEVANT 112344093
ACTION SNIPPET 1200 510 SNIPPET_NOT_RELEVANT 145591450
ACTION SNIPPET 1200 513 SNIPPET_NOT_RELEVANT 47142148
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 159279713
ACTION SNIPPET 1200 519 SNIPPET_NOT_RELEVANT 164852365
ACTION SNIPPET 1200 522 SNIPPET_NOT_RELEVANT 88966309
ACTION SNIPPET 1200 525 SNIPPET_NOT_RELEVANT 85996210
ACTION SNIPPET 1200 528 SNIPPET_NOT_RELEVANT 8867836
ACTION SNIPPET 1200 531 SNIPPET_NOT_RELEVANT 44761588
ACTION SNIPPET 1200 534 SNIPPET_NOT_RELEVANT 162699700
ACTION SNIPPET 1200 537 SNIPPET_NOT_RELEVANT 160948904
ACTION SNIPPET 1200 540 SNIPPET_NOT_RELEVANT 160391795
ACTION SNIPPET 1200 543 SNIPPET_NOT_RELEVANT 126461702
ACTION SNIPPET 1200 546 SNIPPET_NOT_RELEVANT 164020023
ACTION SNIPPET 1200 549 SNIPPET_NOT_RELEVANT 154686619
ACTION SNIPPET 1200 552 SNIPPET_NOT_RELEVANT 156584077
ACTION SNIPPET 1200 555 SNIPPET_NOT_RELEVANT 160691488
ACTION QUERY 1200 565 ("artificial intelligence" OR "automated essay scoring" OR "smart essay scorer" OR "artificial intelligence" OR "machine learning" OR "automated essay grading" OR "digital intelligence" OR "deep learning" OR "neural networks" OR "AI" OR "machine learning" OR "automated essay grading" OR "AI writers" OR "AI for writing" OR "synthetic media" OR "AI-generated" OR "AI-driven" OR "algorithm" OR
ACTION SERP 1200 570 EXAMINE_SERP
ACTION SNIPPET 1200 573 SNIPPET_NOT_RELEVANT 159353252
ACTION SNIPPET 1200 576 SNIPPET_NOT_RELEVANT 109722954
ACTION SNIPPET 1200 579 SNIPPET_NOT_RELEVANT 47142148
ACTION SNIPPET 1200 582 SNIPPET_NOT_RELEVANT 148354721
ACTION SNIPPET 1200 585 SNIPPET_NOT_RELEVANT 156755561
ACTION SNIPPET 1200 588 SNIPPET_NOT_RELEVANT 158041266
ACTION SNIPPET 1200 591 SNIPPET_NOT_RELEVANT 160461892
ACTION SNIPPET 1200 594 SNIPPET_NOT_RELEVANT 162503919
