ACTION START 1200 0 START
ACTION QUERY 1200 10 How do students experience with academic stress affect mental health being
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 148956577
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 158023024
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 158023392
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 142504904
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 17606030
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 54790645
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 153116612
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 161027448
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 69794294
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 87216152
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 78798477
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 155485528
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 40614382
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 69649022
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 86773381
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 75570547
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 14081274
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 155466224
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 108389068
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 71268395
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 41692169
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 160524528
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 8681306
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 48204853
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 161585916
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 86811206
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 155510211
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 153998398
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 155417680
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 69233065
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 162214798
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 71162660
ACTION QUERY 1200 121 ("academic stress" OR "academic engagement" OR "academic success") AND ("mental health" OR "psychological well-being" OR "emotional health" OR "depression" OR "anxiety" OR "stress" OR "fear" OR "troubled mind" OR "unhappiness" OR "mental illness" OR "psychosis" OR "schizophrenia" OR "depression" OR "anxiety disorders" OR "panic disorder" OR "fear
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 8226309
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 17606030
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 160534420
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 112075172
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 135470125
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 131322579
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 8037475
