ACTION START 1200 0 START
ACTION QUERY 1200 10 academic motivation of personal struggles 
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 162724306
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 130785999
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 18748820
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 135625217
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 36336232
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 95267501
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 126976202
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 160435273
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 52084050
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 86831536
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 63054892
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 11296062
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 48048896
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 156100982
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 152101447
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 85868069
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 48048776
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 70355563
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 20837472
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 44757823
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 86210080
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 68557836
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 61921813
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 107344663
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 63224810
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 129655510
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 150236630
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 154121297
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 159516337
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 161027448
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 45251843
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 8703706
ACTION QUERY 1200 121 ("academic motivation" OR "academic engagement" OR "study skills" OR "learning strategies" OR "student engagement") AND ("personal learning" OR "individual learning" OR "self-directed learning" OR "independent learning" OR "autonomous learning" OR "strategic learning") AND ("struggle" OR "difficulty" OR "challenge" OR "barrier" OR "obstacle" OR "frustration" OR "distress" OR "unhappiness" OR "
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 148244888
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 13998905
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 145143311
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 139488797
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 2265935
