ACTION START 1200 0 START
ACTION QUERY 1200 10 Short articles about corporation discussing about their rules and regulations
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 37432571
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 31444445
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 34141587
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 140736585
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 50132300
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 74703172
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 153250292
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 50766635
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 2690799
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 69323534
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 52842644
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 43393159
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 24733602
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 25215453
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 69230931
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 10855075
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 8104576
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 147414695
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 160926385
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 2466409
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 22535338
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 39371674
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 2627063
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 83891357
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 112490640
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 235820
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 30526048
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 4802701
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 90816981
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 127577603
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 44818880
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 149946077
ACTION QUERY 1200 121 ("corporate social responsibility" OR "socially responsible business" OR "business and society" OR "economic performance" OR "financial performance" OR "sustainability" OR "accountability" OR "transparency" OR "governance" OR "accounting" OR "auditing" OR "risk management" OR "social impact" OR "social responsibility" OR "business philosophy" OR "mission statement" OR "vision statement" OR "code of conduct" OR "ethics
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 3106519
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 84782982
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 5247418
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 61705707
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 5172861
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 3029139
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 51585138
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 40512401
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 13976718
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 44982443
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 86784821
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 138456786
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 26559581
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 89411008
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 2463433
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 15107833
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 18004415
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 2639000
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 68248379
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 11641243
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 52882053
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 159862451
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 2461493
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 21473495
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 30081656
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 129402522
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 37997970
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 2521110
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 101923265
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 160635335
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 151814879
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 8802776
ACTION QUERY 1200 232 ("corporate social responsibility" OR "socially responsible business" OR "business and society" OR "sustainability" OR "accountability" OR "transparency" OR "account holders" OR "responsibility" OR "climate change" OR "environment" OR "pollution" OR "ecology" OR "biodiversity" OR "carbon emission" OR "environmental impact" OR "oil spill" OR "chemical exposure" OR "health" OR "workers" OR
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 84782982
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 89411008
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 21473495
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 120402473
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 15107833
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 137869092
