ACTION START 1200 0 START
ACTION QUERY 1200 10 psychoanalysis
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 44814829
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 7299040
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 8158918
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 160047653
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 124116629
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 369572
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 44812034
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 135057805
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 140792672
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 147126661
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 122503759
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 215677
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 271484
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 18755154
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 271505
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 270682
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 214895
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 98083408
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 156701727
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 267730
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 82151131
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 18754732
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 26770348
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 88915656
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 59539160
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 82386977
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 8288692
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 18659151
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 135071112
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 515641
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 2263150
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 8729653
ACTION QUERY 1200 121 ("psychoanalysis" OR "psychological interpretation" OR "psychodynamic therapy" OR "depth psychology" OR "unconscious mind" OR "psychological mechanisms" OR "subconscious mind" OR "psychological approach" OR "human psychology" OR "clinical psychology" OR "cognitive behavioral therapy" OR "conventional psychotherapy" OR "interpersonal dynamics" OR "social interactions" OR "psychological impact" OR "personal growth" OR "individual experience" OR "psych
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 10481512
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 146055879
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 10991104
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 69664540
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 6332664
