ACTION START 1200 0 START
ACTION QUERY 1200 10 Nail Laminated timber
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 79331309
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 161705120
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 160559329
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 61575233
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 17897039
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 129975576
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 85831973
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 121647970
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 50668881
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 138901618
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 139069904
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 128159123
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 113760727
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 102906401
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 47899279
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 44830031
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 137701509
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 122647682
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 67940574
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 9894277
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 68947011
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 144965411
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 151806828
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 21416312
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 156645588
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 38083697
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 25859176
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 56660925
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 8753457
