ACTION START 1200 0 START
ACTION QUERY 1200 10 purpose of the study of the transformation of vintage plates into jewelry and accessories
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 6815997
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 390480
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 151444765
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 86051184
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 122060856
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 162270978
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 2984188
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 79400900
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 19428901
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 75170931
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 80074430
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 163568979
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 40097169
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 61578626
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 51884706
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 122932942
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 163370555
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 30948165
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 62760355
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 142514961
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 146033589
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 84992065
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 59254069
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 154036771
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 159880850
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 8751050
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 82545188
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 157644192
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 8006314
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 148167036
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 74669933
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 8510522
ACTION QUERY 1200 121  (jewelry OR "jewelry design" OR "jewelry materials" OR "jewelry manufacturing" OR "jewelry techniques" OR "accessories" OR "accessory design" OR "accessory materials" OR "accessory manufacturing" OR "accessory techniques" OR "upcycled" OR "reused" OR "reimagined" OR "reinvented" OR "re-engineered" OR "re-purposed" OR "re
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 151444765
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 19428901
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 11732599
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 80074430
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 142514961
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 163568979
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 51884706
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 163799668
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 18613394
