ACTION START 1200 0 START
ACTION QUERY 1200 10 design thinking in school
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 154919047
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 19503359
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 13916935
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 160470025
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 65252696
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 46999634
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 158017369
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 15301366
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 63020840
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 18552729
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 162442199
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 149107152
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 163097762
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 154737501
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 39831058
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 8363146
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 125808190
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 124120346
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 155156682
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 62571117
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 15109538
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 134423801
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 130195147
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 149856301
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 89675016
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 8061632
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 122923980
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 143390562
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 123863001
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 148295459
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 67406490
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 41647071
ACTION SERP 1200 116 EXAMINE_SERP
ACTION SNIPPET 1200 119 SNIPPET_NOT_RELEVANT 154919047
ACTION QUERY 1200 129 ("design thinking" OR "design-based learning" OR "design education") AND ("middle school" OR "high school" OR "secondary school") AND ("decentralized learning" OR "student-centered learning" OR "group learning" OR "collaborative learning" OR "pandemic learning") AND ("computers" OR "ICT" OR "digital technologies" OR "educational technology" OR "e-learning" OR "remote learning" OR "online learning" OR "virtual
ACTION SERP 1200 134 EXAMINE_SERP
ACTION SNIPPET 1200 137 SNIPPET_NOT_RELEVANT 12360461
ACTION SNIPPET 1200 140 SNIPPET_NOT_RELEVANT 123863001
ACTION SNIPPET 1200 143 SNIPPET_NOT_RELEVANT 121700341
ACTION SNIPPET 1200 146 SNIPPET_NOT_RELEVANT 162198215
ACTION SNIPPET 1200 149 SNIPPET_NOT_RELEVANT 128324675
ACTION SNIPPET 1200 152 SNIPPET_NOT_RELEVANT 89624845
ACTION SNIPPET 1200 155 SNIPPET_NOT_RELEVANT 122365785
ACTION SNIPPET 1200 158 SNIPPET_NOT_RELEVANT 162443874
ACTION SNIPPET 1200 161 SNIPPET_NOT_RELEVANT 148698316
ACTION SNIPPET 1200 164 SNIPPET_NOT_RELEVANT 107580326
ACTION SNIPPET 1200 167 SNIPPET_NOT_RELEVANT 129369659
ACTION SNIPPET 1200 170 SNIPPET_NOT_RELEVANT 127078903
ACTION SNIPPET 1200 173 SNIPPET_NOT_RELEVANT 123813972
ACTION SNIPPET 1200 176 SNIPPET_NOT_RELEVANT 40128682
ACTION SNIPPET 1200 179 SNIPPET_NOT_RELEVANT 8063079
ACTION SNIPPET 1200 182 SNIPPET_NOT_RELEVANT 127013028
ACTION SNIPPET 1200 185 SNIPPET_NOT_RELEVANT 127062753
ACTION SNIPPET 1200 188 SNIPPET_NOT_RELEVANT 82352165
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 122465225
ACTION SNIPPET 1200 194 SNIPPET_NOT_RELEVANT 157857756
ACTION SNIPPET 1200 197 SNIPPET_NOT_RELEVANT 31826197
ACTION SNIPPET 1200 200 SNIPPET_NOT_RELEVANT 67050189
ACTION SNIPPET 1200 203 SNIPPET_NOT_RELEVANT 122296730
ACTION SNIPPET 1200 206 SNIPPET_NOT_RELEVANT 123420150
ACTION SNIPPET 1200 209 SNIPPET_NOT_RELEVANT 108405494
ACTION SNIPPET 1200 212 SNIPPET_NOT_RELEVANT 150449621
ACTION SNIPPET 1200 215 SNIPPET_NOT_RELEVANT 150837896
ACTION SNIPPET 1200 218 SNIPPET_NOT_RELEVANT 70313128
ACTION SNIPPET 1200 221 SNIPPET_NOT_RELEVANT 34087719
ACTION SNIPPET 1200 224 SNIPPET_NOT_RELEVANT 138902632
ACTION SNIPPET 1200 227 SNIPPET_NOT_RELEVANT 157888105
ACTION SNIPPET 1200 230 SNIPPET_NOT_RELEVANT 126893464
ACTION QUERY 1200 240 ("design thinking" OR "design process" OR "design based learning" OR "design education") AND ("middle school" OR "high school" OR "secondary school") AND ("action" OR "action learning" OR "action oriented" OR "action based learning" OR "service learning" OR "community based learning" OR "service action") AND ("think" OR "thinking" OR "critical thinking" OR "creative thinking" OR "design skills" OR "design thinking strategies"
ACTION SERP 1200 245 EXAMINE_SERP
ACTION SNIPPET 1200 248 SNIPPET_NOT_RELEVANT 150351506
ACTION SNIPPET 1200 251 SNIPPET_NOT_RELEVANT 149107152
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 154737501
ACTION SNIPPET 1200 257 SNIPPET_NOT_RELEVANT 158017369
ACTION SNIPPET 1200 260 SNIPPET_NOT_RELEVANT 72591144
ACTION SNIPPET 1200 263 SNIPPET_NOT_RELEVANT 8061632
ACTION SNIPPET 1200 266 SNIPPET_NOT_RELEVANT 65252696
ACTION SNIPPET 1200 269 SNIPPET_NOT_RELEVANT 159549851
ACTION SNIPPET 1200 272 SNIPPET_NOT_RELEVANT 122296730
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 26082605
ACTION SNIPPET 1200 278 SNIPPET_NOT_RELEVANT 19503359
ACTION SNIPPET 1200 281 SNIPPET_NOT_RELEVANT 123863001
ACTION SNIPPET 1200 284 SNIPPET_NOT_RELEVANT 4654139
ACTION SNIPPET 1200 287 SNIPPET_NOT_RELEVANT 158148955
ACTION SNIPPET 1200 290 SNIPPET_NOT_RELEVANT 157887172
ACTION SNIPPET 1200 293 SNIPPET_NOT_RELEVANT 152044685
ACTION SNIPPET 1200 296 SNIPPET_NOT_RELEVANT 145408859
ACTION SNIPPET 1200 299 SNIPPET_NOT_RELEVANT 160736814
ACTION SNIPPET 1200 302 SNIPPET_NOT_RELEVANT 160589822
ACTION SNIPPET 1200 305 SNIPPET_NOT_RELEVANT 133042903
ACTION SNIPPET 1200 308 SNIPPET_NOT_RELEVANT 150689319
ACTION SNIPPET 1200 311 SNIPPET_NOT_RELEVANT 4655325
ACTION SNIPPET 1200 314 SNIPPET_NOT_RELEVANT 159996819
ACTION SNIPPET 1200 317 SNIPPET_NOT_RELEVANT 164409192
ACTION SNIPPET 1200 320 SNIPPET_NOT_RELEVANT 97174617
ACTION SNIPPET 1200 323 SNIPPET_NOT_RELEVANT 11305458
ACTION SNIPPET 1200 326 SNIPPET_NOT_RELEVANT 130786958
ACTION SNIPPET 1200 329 SNIPPET_NOT_RELEVANT 113581270
ACTION SNIPPET 1200 332 SNIPPET_NOT_RELEVANT 142410233
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT 38067869
ACTION SNIPPET 1200 338 SNIPPET_NOT_RELEVANT 71268064
ACTION SNIPPET 1200 341 SNIPPET_NOT_RELEVANT 46758787
ACTION QUERY 1200 351 ("design thinking" OR "design process" OR "design based learning" OR "design education") AND ("middle school" OR "high school" OR "secondary school" OR "high school students" OR "teenagers" OR "undergraduate students" OR "college students" OR "university students" OR "early stages of design" OR "formative stages of design" OR "early stage design" OR "formative design stages" OR "design skills" OR "design knowledge
ACTION SERP 1200 356 EXAMINE_SERP
ACTION SNIPPET 1200 359 SNIPPET_NOT_RELEVANT 158017369
ACTION SNIPPET 1200 362 SNIPPET_NOT_RELEVANT 19503359
ACTION SNIPPET 1200 365 SNIPPET_NOT_RELEVANT 126855692
ACTION SNIPPET 1200 368 SNIPPET_NOT_RELEVANT 89675016
ACTION SNIPPET 1200 371 SNIPPET_NOT_RELEVANT 86815679
ACTION SNIPPET 1200 374 SNIPPET_NOT_RELEVANT 154737501
ACTION SNIPPET 1200 377 SNIPPET_NOT_RELEVANT 150277081
ACTION SNIPPET 1200 380 SNIPPET_NOT_RELEVANT 160920709
ACTION SNIPPET 1200 383 SNIPPET_NOT_RELEVANT 7635040
ACTION SNIPPET 1200 386 SNIPPET_NOT_RELEVANT 143390562
ACTION SNIPPET 1200 389 SNIPPET_NOT_RELEVANT 150432366
ACTION SNIPPET 1200 392 SNIPPET_NOT_RELEVANT 136880967
ACTION SNIPPET 1200 395 SNIPPET_NOT_RELEVANT 74873256
ACTION SNIPPET 1200 398 SNIPPET_NOT_RELEVANT 83943404
ACTION SNIPPET 1200 401 SNIPPET_NOT_RELEVANT 8363146
ACTION SNIPPET 1200 404 SNIPPET_NOT_RELEVANT 135795316
