ACTION START 1200 0 START
ACTION QUERY 1200 10 Assessing stem strand and the performance of the students in math and science
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 145144400
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 77887702
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 123006361
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 126664155
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 148368204
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 146570901
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 62577169
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 156071547
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 68978463
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 33897562
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 85634847
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 149015863
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 157240641
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 41663653
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 39562669
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 148222546
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 125600711
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 63718128
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 10480075
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 70309820
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 135876291
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 85839031
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 127394533
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 160708834
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 140792875
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 54324334
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 54325720
