ACTION START 1200 0 START
ACTION QUERY 1200 10 Shaping human identity
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 152447673
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 54701686
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 69329059
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 46676201
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 84234598
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 74740798
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 128014826
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 45255086
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 8052837
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 136328986
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 123984123
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 57777121
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 112005321
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 158046642
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 44798289
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 33420751
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 62633145
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 67411202
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 149983149
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 74927395
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 158380847
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 82373305
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 84525963
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 10712626
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 3146822
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 18530857
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 2119691
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 132811537
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 149965896
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 48212818
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 52739833
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 140009810
ACTION QUERY 1200 121 ("Social networks" OR "Social media" OR "Online networks" OR "Digital platforms" OR "Peer networks"4 OR "Social influence" OR "Virtual communities" OR "Social connectivity") AND ("crime" OR "violence" OR "criminal behavior" OR "criminal tendencies" OR  "criminal networks" OR "cybercrime" OR "online fraud" OR "digital crime" OR "cyberbullying" OR  "hacking" OR "identity theft" OR
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 61705714
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 121068837
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 99238255
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 148840299
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 144650088
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 33169206
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 73042183
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 61007080
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 136309401
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 157888044
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 67566001
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 129278414
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 156554320
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 65778521
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 19299408
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 71457604
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 3108191
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 4591324
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 51869705
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 17809331
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 146281850
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 2900207
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 156076099
