ACTION START 1200 0 START
ACTION QUERY 1200 10 nervous system journal
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 6606889
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 69443990
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 49730740
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 143388338
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 8861191
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 75444526
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 156794918
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 3714783
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 3866202
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 155721545
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 80184481
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 9080323
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 20895463
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 77693480
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 20964642
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 29344154
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 125335793
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 82709078
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 85858983
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 34232069
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 72015983
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 84563644
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 8859045
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 10298876
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 156684302
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 122671129
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 156952335
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 2259293
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 160037361
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 122207470
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 258568
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 2249002
ACTION QUERY 1200 121 ("nervous system" OR "central nervous system" OR "peripheral nervous system" OR "autonomic nervous system" OR "cognitive neuroscience" OR "neurobiology" OR "neurochemistry" OR "neuropharmacology" OR "neurophysiology" OR "neuroanatomy" OR "neurology" OR "neuropsychology" OR "psychiatry" OR "neuroendocrinology" OR "behavior" OR "learning
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 20895463
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 46758507
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 3866202
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 156794918
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 2259293
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 143388338
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 125815686
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 34232069
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 141528716
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 8037182
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 15087922
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 9080323
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 8859812
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 121941964
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 156952335
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 160037361
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 158993883
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 18193943
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 10976775
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 123054096
