ACTION START 1200 0 START
ACTION QUERY 1200 10 ads on streaming services in nigeria
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 19483750
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 31289695
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 124883047
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 10998827
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 106022062
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 136417040
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 122591427
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 10479559
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 50133907
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 74689635
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 100771091
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 102649423
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 84224733
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 8254636
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 17755612
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 148790015
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 17791626
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 122622210
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 683062
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 52208113
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 122616823
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 129360466
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 126984499
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 14043480
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 138535591
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 13903003
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 138512514
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 126979949
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 158170130
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 8016987
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 33668208
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 79325184
ACTION QUERY 1200 121 ("streaming" OR "online video" OR "digital delivery" OR "IP-TV" OR "pay-per-view" OR "subscription video on demand" OR "TV streaming" OR "streaming services" OR "streaming platforms" OR "streaming media") AND ("advertising" OR "remote video profiling" OR "targeted advertising" OR "data-driven marketing" OR "programmatic advertising" OR "addressable advertising" OR "addressable streaming" OR "addressable
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 59060107
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 10479559
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 125822160
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 100970496
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 63046948
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 52208113
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 65338820
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 44751538
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 7797613
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 10535025
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 4839815
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 74296948
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 152358808
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 16750301
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 86967889
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 4963041
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 109750594
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 66020928
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 78343227
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 8760418
