ACTION START 1200 0 START
ACTION QUERY 1200 10 Global Aero Terminar 5320
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 159584424
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 62604946
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 24882737
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 68787347
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 68852740
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 128894932
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 163071595
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 25853290
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 18494121
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 136167875
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 146293237
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 27783326
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 142859586
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 66659929
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 78423598
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 18604417
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 139996347
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 68808183
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 4661599
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 27928713
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 67371155
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 137759481
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 25079081
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 30855876
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 141865725
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 141865503
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 78781465
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 26842030
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 19440779
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 136699459
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 10085632
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 24844821
ACTION QUERY 1200 121 ("Commercial aircraft" OR "Civil aircraft" OR "Passenger aircraft" OR "Cargo aircraft" OR "Military aircraft" OR "Aerospace" OR "Aviation" OR "Air transport" OR "Airline" OR "Airlines" OR "Flights" OR "Aviation industry" OR "Aviation" OR "Commercial aviation" OR "Civil aviation" OR "Cargo airlines" OR "Freight" OR "Military aviation" OR "Defense" OR "Spacecraft
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 24836056
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 86392182
