ACTION START 1200 0 START
ACTION QUERY 1200 10 web based creating a biodata
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 87114886
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 22059096
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 151598850
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 139941769
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 139960358
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 126541997
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 115007954
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 150210436
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 256352
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 40527270
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 23168456
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 24032083
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 48117135
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 41353699
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 107666437
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 61132018
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 163095723
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 7484137
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 146265738
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 155447713
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 1278500
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 87212840
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 4190402
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 256354
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 82051706
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 19461018
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 44981368
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 9862203
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 33727903
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 152682550
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 25212653
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 5861522
ACTION QUERY 1200 121 ("biodata" OR "biography" OR "curriculum vitae" OR "resume") AND ("artificial intelligence" OR "AI" OR "machine learning" OR "automated extraction" OR "extract" OR "data driven design" OR "data driven" OR "AI in education" OR "AI for education" OR "chatbot" OR "chatbot in education" OR "smart tutor" OR "personalized learning" OR "adaptive learning" OR "AI-driven
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 153492665
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 163937469
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 162389683
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 158151396
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 157963370
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 152044995
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 156574489
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 157125482
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 163018275
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 152910811
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 159822327
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 150461383
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 159796635
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 154686610
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 164483367
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 159375047
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 159434007
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 157015791
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 128011051
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 161062059
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 8676276
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 160443147
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 157145627
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 162018377
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 156948056
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 157489405
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 160777521
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 159483282
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 151184507
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 149521292
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 159483466
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 156651588
ACTION QUERY 1200 232  ("biodata" OR "biographical data" OR "personal information") AND ("digital transformation" OR "online education" OR "e-learning" OR "remote learning" OR "virtual classroom" OR "digitalization" OR "technology adoption") AND ("Syria" OR "Syrian Republic" OR "Syria Arab Republic" OR "Syria Republic") AND ("2011" OR "2012" OR "2013" OR "2014" OR "2015"
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 39897170
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 19210335
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 149658487
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 126926055
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 123316709
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 129234464
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 123018393
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 44760269
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 25475219
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 162189018
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 127927747
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 140475493
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 37992070
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 126892050
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 106251535
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 24975796
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 147816280
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 156823688
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 125346122
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 8303287
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 71186151
