ACTION START 1200 0 START
ACTION QUERY 1200 10 Metal injection molding pratt whitney
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 120385965
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 5179743
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 40036940
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 51370125
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 131107388
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 15109118
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 146384402
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 127160704
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 86297599
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 57929
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 21968711
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 162526833
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 9130389
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 56019
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 163042380
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 80531308
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 162469165
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 44142520
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 44141779
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 162532391
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 12059019
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 69304151
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 33921312
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 16101761
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 123647299
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 16110984
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 135304447
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 8411815
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 115458876
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 155470801
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 115466837
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 46512540
ACTION QUERY 1200 121 ("aluminum" OR "aluminium" OR "copper" OR "copper alloys" OR "brass" OR "brass alloys" OR "nickel" OR "nickel alloys" OR "cobalt" OR "cobalt alloys" OR "chromium" OR "chromium alloys" OR "titanium" OR "titanium alloys" OR "stainless steel" OR "stainless steel alloys" OR "carbon" OR "graphite" OR
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 115394235
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 20679325
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 60722383
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 81708683
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 24917389
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 10491067
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 4465118
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 128013163
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 29094144
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 41124039
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 33922655
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 6506089
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 127544632
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 40527082
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 151719726
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 8170215
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 18752758
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 139281069
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 31544420
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 21437725
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 36753145
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 41307540
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 67375542
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 83738866
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 87527028
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 4702328
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 152138340
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 165842525
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 57918249
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 69481404
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 135737190
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 140806736
ACTION QUERY 1200 232 ("metal injection molding" OR MIM OR metal injection process OR metal injection system OR metal injection technique OR metal forming OR metal forming technology OR additive manufacturing OR AM OR 3D printing OR laser powder bed fusion OR LPBF OR selective laser melting OR SLM OR fused filament fabrication OR FFF OR 3D binder jetting OR 3DBJ OR 3D printing OR any combination) AND ("aerospace" OR aviation OR aerospace engineering OR aerospace technology OR aircraft OR "aviation
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 128011528
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 70314469
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 123103607
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 122972546
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 150491449
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 155458160
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 153491026
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 78137192
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 157026754
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 141740237
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 8316823
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 8450622
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 156030731
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 70467428
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 136844245
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 83742557
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 15109118
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 138931105
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 51370125
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 5179743
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 65495882
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 130243504
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 120395681
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 145130640
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 40640437
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 85710934
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 33898807
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 70474063
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 57533550
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 115394235
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 136677982
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 50154474
